[2022-12-13T10:07:17.959+0000] {taskinstance.py:1087} INFO - Dependencies all met for <TaskInstance: DataMart.ReadData scheduled__2022-12-12T07:00:00+00:00 [queued]>
[2022-12-13T10:07:17.978+0000] {taskinstance.py:1087} INFO - Dependencies all met for <TaskInstance: DataMart.ReadData scheduled__2022-12-12T07:00:00+00:00 [queued]>
[2022-12-13T10:07:17.979+0000] {taskinstance.py:1283} INFO - 
--------------------------------------------------------------------------------
[2022-12-13T10:07:17.980+0000] {taskinstance.py:1284} INFO - Starting attempt 18 of 23
[2022-12-13T10:07:17.980+0000] {taskinstance.py:1285} INFO - 
--------------------------------------------------------------------------------
[2022-12-13T10:07:17.993+0000] {taskinstance.py:1304} INFO - Executing <Task(PythonOperator): ReadData> on 2022-12-12 07:00:00+00:00
[2022-12-13T10:07:18.001+0000] {standard_task_runner.py:55} INFO - Started process 25229 to run task
[2022-12-13T10:07:18.009+0000] {standard_task_runner.py:82} INFO - Running: ['***', 'tasks', 'run', 'DataMart', 'ReadData', 'scheduled__2022-12-12T07:00:00+00:00', '--job-id', '349', '--raw', '--subdir', 'DAGS_FOLDER/datamart.py', '--cfg-path', '/tmp/tmpw_998jfj']
[2022-12-13T10:07:18.017+0000] {standard_task_runner.py:83} INFO - Job 349: Subtask ReadData
[2022-12-13T10:07:18.142+0000] {task_command.py:389} INFO - Running <TaskInstance: DataMart.ReadData scheduled__2022-12-12T07:00:00+00:00 [running]> on host 83e68f36074a
[2022-12-13T10:07:18.360+0000] {taskinstance.py:1513} INFO - Exporting the following env vars:
AIRFLOW_CTX_DAG_OWNER=Gama Ariefsadya
AIRFLOW_CTX_DAG_ID=DataMart
AIRFLOW_CTX_TASK_ID=ReadData
AIRFLOW_CTX_EXECUTION_DATE=2022-12-12T07:00:00+00:00
AIRFLOW_CTX_TRY_NUMBER=18
AIRFLOW_CTX_DAG_RUN_ID=scheduled__2022-12-12T07:00:00+00:00
[2022-12-13T10:07:18.567+0000] {logging_mixin.py:137} INFO - ('2009-01-01 00:00:00', 2, 'Accept', 5.9399999999999995, 4, 19, 'Oslo')
[2022-12-13T10:07:18.570+0000] {logging_mixin.py:137} INFO - ('2009-01-01 00:00:00', 2, 'Accept', 5.9399999999999995, 4, 19, 'Stuttgart')
[2022-12-13T10:07:18.573+0000] {logging_mixin.py:137} INFO - ('2009-01-02 00:00:00', 2, 'Accept', 2.9699999999999998, 4, 19, 'Oslo')
[2022-12-13T10:07:18.574+0000] {logging_mixin.py:137} INFO - ('2009-01-02 00:00:00', 2, 'Accept', 2.9699999999999998, 4, 19, 'Stuttgart')
[2022-12-13T10:07:18.575+0000] {logging_mixin.py:137} INFO - ('2009-01-03 00:00:00', 1, 'AC/DC', 2.9699999999999998, 18, 19, 'Berlin')
[2022-12-13T10:07:18.575+0000] {logging_mixin.py:137} INFO - ('2009-01-03 00:00:00', 1, 'AC/DC', 2.9699999999999998, 18, 19, 'Boston')
[2022-12-13T10:07:18.576+0000] {logging_mixin.py:137} INFO - ('2009-01-03 00:00:00', 1, 'AC/DC', 2.9699999999999998, 18, 19, 'Brussels')
[2022-12-13T10:07:18.576+0000] {logging_mixin.py:137} INFO - ('2009-01-03 00:00:00', 1, 'AC/DC', 2.9699999999999998, 18, 19, 'Edmonton')
[2022-12-13T10:07:18.577+0000] {logging_mixin.py:137} INFO - ('2009-01-03 00:00:00', 1, 'AC/DC', 2.9699999999999998, 18, 19, 'Frankfurt')
[2022-12-13T10:07:18.578+0000] {logging_mixin.py:137} INFO - ('2009-01-03 00:00:00', 1, 'AC/DC', 2.9699999999999998, 18, 19, 'Paris')
[2022-12-13T10:07:18.578+0000] {logging_mixin.py:137} INFO - ('2009-01-06 00:00:00', 1, 'AC/DC', 5.9399999999999995, 18, 19, 'Berlin')
[2022-12-13T10:07:18.579+0000] {logging_mixin.py:137} INFO - ('2009-01-06 00:00:00', 1, 'AC/DC', 5.9399999999999995, 18, 19, 'Boston')
[2022-12-13T10:07:18.580+0000] {logging_mixin.py:137} INFO - ('2009-01-06 00:00:00', 1, 'AC/DC', 5.9399999999999995, 18, 19, 'Brussels')
